ParentId,DataTagId,DataFloat,DataInt,DataText,RelatedItemId,DatumColumnId,DatumColumnId,UserLabelId,DataTagId,UserLabelId,Label,DataTagId,DataCategoryId,Description,DataCategoryId,Description,Guid,Name,Guid,SampleId,Guid,SpecimenId,CreateDate
5d3f55c2-9cbb-4a31-85ba-012f55f1f469,57,0.0148091223090887,NULL,NULL,5d3f55c2-9cbb-4a31-85ba-012f55f1f469,82,82,81,57,81,Nominal Strain at Break,57,25,Nominal Strain at Break (Standard),25,Break (Standard),6b2842c8-d639-4a16-9d33-197e5c4ccb3a,FOA Project 5%GO + PA66,4b3b92df-f525-4429-b5f2-f297d668b0e3,6b2842c8-d639-4a16-9d33-197e5c4ccb3a,5d3f55c2-9cbb-4a31-85ba-012f55f1f469,4b3b92df-f525-4429-b5f2-f297d668b0e3,2021-07-01 08:15:04.823
5d3f55c2-9cbb-4a31-85ba-012f55f1f469,58,67249397.277832,NULL,NULL,5d3f55c2-9cbb-4a31-85ba-012f55f1f469,83,83,82,58,82,Tensile Strength at Break,58,25,Tensile stress at Break (Standard),25,Break (Standard),6b2842c8-d639-4a16-9d33-197e5c4ccb3a,FOA Project 5%GO + PA66,4b3b92df-f525-4429-b5f2-f297d668b0e3,6b2842c8-d639-4a16-9d33-197e5c4ccb3a,5d3f55c2-9cbb-4a31-85ba-012f55f1f469,4b3b92df-f525-4429-b5f2-f297d668b0e3,2021-07-01 08:15:04.823
5d3f55c2-9cbb-4a31-85ba-012f55f1f469,59,NULL,NULL,Strain 1,5d3f55c2-9cbb-4a31-85ba-012f55f1f469,86,86,85,59,85,Primary source,59,26,Primary source,26,Tensile strain (Strain 1),6b2842c8-d639-4a16-9d33-197e5c4ccb3a,FOA Project 5%GO + PA66,4b3b92df-f525-4429-b5f2-f297d668b0e3,6b2842c8-d639-4a16-9d33-197e5c4ccb3a,5d3f55c2-9cbb-4a31-85ba-012f55f1f469,4b3b92df-f525-4429-b5f2-f297d668b0e3,2021-07-01 08:15:04.823
5d3f55c2-9cbb-4a31-85ba-012f55f1f469,60,NULL,NULL,Displacement,5d3f55c2-9cbb-4a31-85ba-012f55f1f469,87,87,86,60,86,Control mode 1,60,27,Control mode 1,27,Test,6b2842c8-d639-4a16-9d33-197e5c4ccb3a,FOA Project 5%GO + PA66,4b3b92df-f525-4429-b5f2-f297d668b0e3,6b2842c8-d639-4a16-9d33-197e5c4ccb3a,5d3f55c2-9cbb-4a31-85ba-012f55f1f469,4b3b92df-f525-4429-b5f2-f297d668b0e3,2021-07-01 08:15:04.823
5d3f55c2-9cbb-4a31-85ba-012f55f1f469,61,8.33333333333335E-05,NULL,NULL,5d3f55c2-9cbb-4a31-85ba-012f55f1f469,88,88,87,61,87,Rate 1,61,27,Rate 1,27,Test,6b2842c8-d639-4a16-9d33-197e5c4ccb3a,FOA Project 5%GO + PA66,4b3b92df-f525-4429-b5f2-f297d668b0e3,6b2842c8-d639-4a16-9d33-197e5c4ccb3a,5d3f55c2-9cbb-4a31-85ba-012f55f1f469,4b3b92df-f525-4429-b5f2-f297d668b0e3,2021-07-01 08:15:04.823
6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,40,NULL,0,NULL,6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,61,61,60,40,60,Excluded,40,15,Excluded,15,General,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,41,0.00967,NULL,NULL,6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,62,62,61,41,61,Width,41,17,Width,17,Specimen properties,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,42,0.00395,NULL,NULL,6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,63,63,62,42,62,Thickness,42,17,Thickness,17,Specimen properties,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,43,NULL,NULL,,6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,64,64,63,43,63,Conditioning procedure,43,18,Specimen text inputs,18,Specimen text inputs,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,43,NULL,NULL,,6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,65,65,64,43,64,Preparation method,43,18,Specimen text inputs,18,Specimen text inputs,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,43,NULL,NULL,12/2014,6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,71,71,70,43,70,Method revision date,43,18,Specimen text inputs,18,Specimen text inputs,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,44,NULL,NULL,SI,6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,66,66,65,44,65,System of units,44,15,System of units,15,General,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,45,NULL,NULL,Class B-2,6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,67,67,66,45,66,Extensometer Class,45,19,Specimen choice input,19,Specimen choice input,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,45,NULL,NULL,Type I,6a768ebe-e0b8-4bb2-92d8-02a4c2cfcee3,68,68,67,45,67,Specimen Type,45,19,Specimen choice input,19,Specimen choice input,NULL,NULL,NULL,NULL,NULL,NULL,NULL
